,country,year,lat,lon,wealthpooled,cluster
0,angola,2011,-12.35025691986084,13.534921646118164,2.3127568,C
1,angola,2011,-12.360864639282228,13.551493644714355,2.010293,C
2,angola,2011,-12.613421440124512,13.413084983825684,0.87774396,E
3,angola,2011,-12.581454277038574,13.397710800170898,1.0669937,E
4,angola,2011,-12.578134536743164,13.418747901916504,1.7501526,E
5,angola,2011,-12.575304985046388,13.408575057983398,1.632411,E
6,angola,2011,-11.188879013061523,13.838994979858398,0.11416385,C
7,angola,2011,-11.200050354003906,13.832945823669434,0.70044357,C
8,angola,2011,-8.593236923217773,13.643247604370115,0.444854,C
9,angola,2011,-8.583901405334473,13.664315223693848,0.87010604,C
10,angola,2011,-12.752814292907717,15.742476463317873,0.91252536,C
11,angola,2011,-12.782552719116213,15.754300117492676,-0.02090346,C
12,angola,2011,-12.600114822387695,13.200098037719728,-0.15603352,D
13,angola,2011,-12.594752311706545,13.202680587768556,0.6620165,D
14,angola,2011,-12.426922798156738,13.554356575012209,-0.15116675,C
15,angola,2011,-12.42673683166504,13.558510780334473,0.35117927,C
16,angola,2011,-13.434386253356934,14.26944637298584,-1.2293731,E
17,angola,2011,-13.465144157409668,14.278094291687012,-0.92575103,E
18,angola,2011,-12.34475040435791,14.773096084594728,-0.5410237,E
19,angola,2011,-12.371371269226074,14.753341674804688,-1.1406131,E
20,angola,2011,-10.871301651000977,14.35396671295166,-1.1657039,B
21,angola,2011,-10.858034133911133,14.358819961547852,0.3691469,B
22,angola,2011,-10.41960334777832,13.97072410583496,-0.98234725,D
23,angola,2011,-10.39098072052002,13.984454154968262,-1.2775807,D
24,angola,2011,-11.537385940551758,14.726956367492676,-1.1168716,D
25,angola,2011,-11.517536163330078,14.754719734191896,-1.2346736,D
26,angola,2011,-9.096796035766602,13.646400451660156,0.06002213,B
27,angola,2011,-9.172911643981934,13.648186683654783,-0.9133352,B
28,angola,2011,-8.159111976623535,14.46909236907959,-0.44839758,C
29,angola,2011,-8.159943580627441,14.460016250610352,-0.29533517,C
30,angola,2011,-6.0130109786987305,14.173504829406738,-0.88893455,B
31,angola,2011,-5.869626998901367,14.0990571975708,-0.9669796,C
32,angola,2011,-5.872087001800537,13.439566612243652,-1.0252708,C
33,angola,2011,-5.89793586730957,13.408697128295898,-1.2417839,C
34,angola,2011,-12.106622695922852,16.69556999206543,-1.1428342,A
35,angola,2011,-12.186223983764648,16.745166778564453,-0.923072,C
36,angola,2011,-11.38343620300293,16.205631256103516,-0.6258485,B
37,angola,2011,-11.34277629852295,16.201751708984375,-1.0151771,B
38,angola,2011,-12.216218948364258,17.5173282623291,-0.98745567,C
39,angola,2011,-12.170703887939451,17.546886444091797,-1.138468,C
40,angola,2011,-12.131759643554688,17.92354393005371,-1.334456,E
41,angola,2011,-13.913492202758787,17.286134719848633,-1.3171909,B
42,angola,2011,-13.751458168029783,17.183673858642578,-1.2570183,E
43,angola,2011,-12.917320251464844,15.720189094543455,0.88385606,C
44,angola,2011,-12.74798583984375,15.76736068725586,0.2159259,C
45,angola,2011,-12.790960311889648,15.743494987487791,-0.16793853,C
46,angola,2011,-12.875445365905762,15.760207176208496,-0.21569687,C
47,angola,2011,-12.74325942993164,15.761831283569336,0.21406402,C
48,angola,2011,-12.772852897644045,15.756213188171388,0.27623963,C
49,angola,2011,-12.98455810546875,15.94345760345459,-0.05650587,D
50,angola,2011,-12.739749908447266,15.662196159362791,-0.41032577,C
51,angola,2011,-12.537665367126465,16.250486373901367,-0.83577746,B
52,angola,2011,-12.565216064453123,16.26175880432129,-0.9108066,B
53,angola,2011,-13.437459945678713,15.412270545959473,-0.8691003,B
54,angola,2011,-13.530546188354492,15.460572242736816,-0.97534615,A
55,angola,2011,-11.971577644348145,16.488122940063477,-0.83114624,C
56,angola,2011,-5.5644707679748535,12.200790405273438,0.94628197,E
57,angola,2011,-5.573740005493164,12.192002296447754,1.2258558,E
58,angola,2011,-9.52721118927002,16.338668823242188,0.59025913,E
59,angola,2011,-9.542977333068848,16.318552017211914,1.0886902,E
60,angola,2011,-9.692947387695312,14.432254791259766,0.89985454,B
61,angola,2011,-9.681389808654783,14.435283660888672,0.15538767,B
62,angola,2011,-7.6152801513671875,15.052982330322266,1.7723438,B
63,angola,2011,-7.619235992431641,15.061034202575684,1.3011552,B
64,angola,2011,-7.768683910369873,15.252056121826172,0.9675911,B
65,angola,2011,-7.774466037750244,15.251550674438477,0.63094926,B
66,angola,2011,-4.59333086013794,12.862202644348145,-0.031260427,B
67,angola,2011,-4.465606212615967,12.862363815307615,-0.7073033,A
68,angola,2011,-9.598896026611328,21.5810546875,-1.3273675,D
69,angola,2011,-9.055912017822266,21.48237991333008,-1.3120311,E
70,angola,2011,-10.556163787841797,22.03955841064453,-1.2307408,C
71,angola,2011,-10.55998420715332,22.166975021362305,-1.1368579,C
72,angola,2011,-11.210758209228516,19.821866989135746,-1.3230524,A
73,angola,2011,-11.150213241577148,19.79463195800781,-1.3465561,A
74,angola,2011,-7.695137977600098,21.3825740814209,-1.1085097,A
75,angola,2011,-7.728569030761719,21.314002990722656,-1.0280075,A
76,angola,2011,-7.368189811706543,20.80959129333496,-0.22863428,C
77,angola,2011,-7.384159088134766,20.79607391357422,-0.87403536,C
78,angola,2011,-9.761993408203123,19.657209396362305,-1.1213348,A
79,angola,2011,-9.72620677947998,19.6317081451416,-1.2149843,A
80,angola,2011,-9.500242233276367,17.4653377532959,-1.0372059,B
81,angola,2011,-9.498591423034668,17.830034255981445,-1.2263392,D
82,angola,2011,-9.568134307861328,16.201997756958008,-0.6806131,E
83,angola,2011,-9.661635398864746,16.297115325927734,-1.1558049,A
84,angola,2011,-9.469572067260742,16.1578311920166,-1.1216271,D
85,angola,2011,-9.445208549499512,16.15148162841797,-1.0558224,D
86,angola,2011,-8.354865074157715,16.118953704833984,-0.78481495,C
87,angola,2011,-8.37879753112793,16.11651611328125,-1.2815422,C
88,angola,2011,-8.809968948364258,16.79541015625,0.27568626,B
89,angola,2011,-8.82180404663086,16.767913818359375,-0.8748846,B
90,angola,2011,-8.495734214782715,16.40424346923828,-1.2372631,A
91,angola,2011,-8.520779609680176,16.361114501953125,-1.0111725,A
92,angola,2011,-10.972332954406738,17.549232482910156,-0.92209315,D
93,angola,2011,-10.999862670898438,17.564071655273438,-0.5756256,D
94,angola,2011,-9.48105239868164,16.859832763671875,-1.0281428,D
95,angola,2011,-9.271636962890623,15.235036849975586,-1.1011342,B
96,angola,2011,-9.253066062927246,15.241698265075684,-1.2142001,B
97,angola,2011,-8.177555084228516,15.379146575927734,-0.72886723,E
