country,year,cluster,lat,lon,households,wealthpooled,filename
angola,2011,1,-12.35025691986084,13.534921646118164,36,2.3127568,-12_3_13_53.tif
angola,2011,2,-12.360864639282228,13.551493644714355,32,2.010293,-12_3_13_55.tif
angola,2011,3,-12.613421440124512,13.413084983825684,36,0.87774396,-12_6_13_41.tif
angola,2011,4,-12.581454277038574,13.397710800170898,35,1.0669937,-12_5_13_39.tif
angola,2011,5,-12.578134536743164,13.418747901916504,37,1.7501526,-12_5_13_41.tif
angola,2011,6,-12.575304985046388,13.408575057983398,27,1.632411,-12_5_13_40.tif
angola,2011,7,-11.188879013061523,13.838994979858398,33,0.11416385,-11_1_13_83.tif
angola,2011,8,-11.200050354003906,13.832945823669434,30,0.70044357,-11_2_13_83.tif
angola,2011,9,-8.593236923217773,13.643247604370115,36,0.444854,-8_59_13_64.tif
angola,2011,10,-8.583901405334473,13.664315223693848,36,0.87010604,-8_58_13_66.tif
angola,2011,11,-12.752814292907717,15.742476463317873,33,0.91252536,-12_7_15_74.tif
angola,2011,12,-12.782552719116213,15.754300117492676,34,-0.02090346,-12_7_15_75.tif
angola,2011,13,-12.600114822387695,13.200098037719728,36,-0.15603352,-12_6_13_20.tif
angola,2011,14,-12.594752311706545,13.202680587768556,37,0.6620165,-12_5_13_20.tif
angola,2011,15,-12.426922798156738,13.554356575012209,36,-0.15116675,-12_4_13_55.tif
angola,2011,16,-12.42673683166504,13.558510780334473,37,0.35117927,-12_4_13_55.tif
angola,2011,17,-13.434386253356934,14.26944637298584,37,-1.2293731,-13_4_14_26.tif
angola,2011,18,-13.465144157409668,14.278094291687012,37,-0.92575103,-13_4_14_27.tif
angola,2011,19,-12.34475040435791,14.773096084594728,37,-0.5410237,-12_3_14_77.tif
angola,2011,20,-12.371371269226074,14.753341674804688,37,-1.1406131,-12_3_14_75.tif
angola,2011,21,-10.871301651000977,14.35396671295166,37,-1.1657039,-10_8_14_35.tif
angola,2011,22,-10.858034133911133,14.358819961547852,37,0.3691469,-10_8_14_35.tif
angola,2011,23,-10.41960334777832,13.97072410583496,33,-0.98234725,-10_4_13_97.tif
