country,year,cluster,lat,lon,households,wealthpooled
angola,2011,1,-12.35025691986084,13.534921646118164,36,2.3127568
angola,2011,2,-12.360864639282228,13.551493644714355,32,2.010293
angola,2011,3,-12.613421440124512,13.413084983825684,36,0.87774396
angola,2011,4,-12.581454277038574,13.397710800170898,35,1.0669937
angola,2011,5,-12.578134536743164,13.418747901916504,37,1.7501526
angola,2011,6,-12.575304985046388,13.408575057983398,27,1.632411
angola,2011,7,-11.188879013061523,13.838994979858398,33,0.11416385
angola,2011,8,-11.200050354003906,13.832945823669434,30,0.70044357
angola,2011,9,-8.593236923217773,13.643247604370115,36,0.444854
angola,2011,10,-8.583901405334473,13.664315223693848,36,0.87010604
angola,2011,11,-12.752814292907717,15.742476463317873,33,0.91252536
angola,2011,12,-12.782552719116213,15.754300117492676,34,-0.02090346
angola,2011,13,-12.600114822387695,13.200098037719728,36,-0.15603352
angola,2011,14,-12.594752311706545,13.202680587768556,37,0.6620165
angola,2011,15,-12.426922798156738,13.554356575012209,36,-0.15116675
angola,2011,16,-12.42673683166504,13.558510780334473,37,0.35117927
angola,2011,17,-13.434386253356934,14.26944637298584,37,-1.2293731
angola,2011,18,-13.465144157409668,14.278094291687012,37,-0.92575103
angola,2011,19,-12.34475040435791,14.773096084594728,37,-0.5410237
angola,2011,20,-12.371371269226074,14.753341674804688,37,-1.1406131
angola,2011,21,-10.871301651000977,14.35396671295166,37,-1.1657039
angola,2011,22,-10.858034133911133,14.358819961547852,37,0.3691469
angola,2011,23,-10.41960334777832,13.97072410583496,33,-0.98234725
angola,2011,24,-10.39098072052002,13.984454154968262,23,-1.2775807
angola,2011,25,-11.537385940551758,14.726956367492676,28,-1.1168716
angola,2011,26,-11.517536163330078,14.754719734191896,26,-1.2346736
angola,2011,29,-9.096796035766602,13.646400451660156,37,0.06002213
angola,2011,30,-9.172911643981934,13.648186683654783,33,-0.9133352
angola,2011,31,-8.159111976623535,14.46909236907959,37,-0.44839758
angola,2011,32,-8.159943580627441,14.460016250610352,37,-0.29533517
angola,2011,33,-6.0130109786987305,14.173504829406738,36,-0.88893455
angola,2011,34,-5.869626998901367,14.0990571975708,17,-0.9669796
angola,2011,35,-5.872087001800537,13.439566612243652,37,-1.0252708
angola,2011,36,-5.89793586730957,13.408697128295898,37,-1.2417839
angola,2011,37,-12.106622695922852,16.69556999206543,25,-1.1428342
angola,2011,38,-12.186223983764648,16.745166778564453,35,-0.923072
angola,2011,39,-11.38343620300293,16.205631256103516,37,-0.6258485
angola,2011,40,-11.34277629852295,16.201751708984375,31,-1.0151771
angola,2011,41,-12.216218948364258,17.5173282623291,33,-0.98745567
angola,2011,42,-12.170703887939451,17.546886444091797,31,-1.138468
angola,2011,43,-12.131759643554688,17.92354393005371,32,-1.334456
angola,2011,45,-13.913492202758787,17.286134719848633,36,-1.3171909
angola,2011,46,-13.751458168029783,17.183673858642578,34,-1.2570183
angola,2011,47,-12.917320251464844,15.720189094543455,32,0.88385606
angola,2011,48,-12.74798583984375,15.76736068725586,30,0.2159259
angola,2011,49,-12.790960311889648,15.743494987487791,26,-0.16793853
angola,2011,50,-12.875445365905762,15.760207176208496,35,-0.21569687
angola,2011,51,-12.74325942993164,15.761831283569336,37,0.21406402
angola,2011,52,-12.772852897644045,15.756213188171388,34,0.27623963
angola,2011,53,-12.98455810546875,15.94345760345459,36,-0.05650587
angola,2011,54,-12.739749908447266,15.662196159362791,35,-0.41032577
angola,2011,55,-12.537665367126465,16.250486373901367,35,-0.83577746
angola,2011,56,-12.565216064453123,16.26175880432129,34,-0.9108066
angola,2011,57,-13.437459945678713,15.412270545959473,37,-0.8691003
angola,2011,58,-13.530546188354492,15.460572242736816,12,-0.97534615
angola,2011,60,-11.971577644348145,16.488122940063477,36,-0.83114624
angola,2011,61,-5.5644707679748535,12.200790405273438,32,0.94628197
angola,2011,62,-5.573740005493164,12.192002296447754,32,1.2258558
angola,2011,63,-9.52721118927002,16.338668823242188,37,0.59025913
angola,2011,64,-9.542977333068848,16.318552017211914,37,1.0886902
angola,2011,65,-9.692947387695312,14.432254791259766,37,0.89985454
angola,2011,66,-9.681389808654783,14.435283660888672,36,0.15538767
angola,2011,67,-7.6152801513671875,15.052982330322266,35,1.7723438
angola,2011,68,-7.619235992431641,15.061034202575684,37,1.3011552
angola,2011,69,-7.768683910369873,15.252056121826172,37,0.9675911
angola,2011,70,-7.774466037750244,15.251550674438477,37,0.63094926
angola,2011,71,-4.59333086013794,12.862202644348145,34,-0.031260427
angola,2011,72,-4.465606212615967,12.862363815307615,11,-0.7073033
angola,2011,73,-9.598896026611328,21.5810546875,36,-1.3273675
angola,2011,74,-9.055912017822266,21.48237991333008,24,-1.3120311
angola,2011,75,-10.556163787841797,22.03955841064453,37,-1.2307408
angola,2011,76,-10.55998420715332,22.166975021362305,37,-1.1368579
angola,2011,77,-11.210758209228516,19.821866989135746,37,-1.3230524
angola,2011,78,-11.150213241577148,19.79463195800781,28,-1.3465561
angola,2011,79,-7.695137977600098,21.3825740814209,37,-1.1085097
